rank	username	minecraft:killed_by/minecraft:zombie
241	Wowful	7
241	olmul	7
241	The_slideV3	7
241	QueenShuvi	7
241	censorsheep	7
241	LordAurum	7
241	_Ruzeeq_	7
241	brofrickcheaters	7
241	_TCARREIRA_	7
241	Poppy235	7
241	LeeMcGee30	7
241	little_dUki	7
241	QueenOfDirt	7
241	Legendosh	7
266	LittleBug562	6
266	Ilinca_Io	6
266	tuckerdoodle	6
266	4383	6
266	firesgal3116	6
266	UncreativeArtist	6
266	prizm_	6
266	breadbowlgamer	6
266	Windo_licker	6
266	corpsecity	6
266	Arceus1975	6
266	Onennon	6
266	TheShyPig	6
266	Luminad3	6
266	groofles	6
266	Lord_Jord	6
266	binman420	6
266	FlashMigma	6
266	RedcatVII	6
266	ProfessorDiaper	6
266	Shin69	6
266	ReyTheLegend	6
266	PlzNoBM	6
266	Logain42	6
266	Eczbek	6
266	momis24	6
266	Powowowow	6
266	WYFYoyo	6
266	00000000-0000-0000-0009-01f73aa9620f	6
295	MunkaKris	5
295	SaltineDream	5
295	weezygator	5
295	dabloons	5
295	6king6colt6	5
295	TheMilkerOfCats	5
