rank	username	minecraft:custom/minecraft:walk_under_water_one_cm
230	Nicky_H225	3324417
231	Euclidoris	3313717
232	MrKrabOnCoke	3307188
233	vandmanden	3245889
234	The11thDoctor	3241428
235	Druid95	3212664
236	Quaintster	3197256
237	BlankityMcBlank	3182937
238	fkGrim	3059044
239	AlphaWolfPlaysMC	3051464
240	djancak	3050047
241	shadowthemonkey	3003953
242	TheDankPlatypus	2970278
243	LeonelSalamanca	2911704
244	Teebone15	2891555
245	Kubelz	2881434
246	Lutres_	2875741
247	SlayerCrypto	2874072
248	Touched_Bread	2862650
249	diggydog67	2846135
250	set67	2820939
251	jacxhadow	2769479
252	Eczbek	2764536
253	ougstur	2762186
254	_Huge_Male_	2739166
255	SvenskaHugo	2709019
256	fffMike	2706934
257	MinttyFressh	2691549
258	Nycteus_	2690339
259	groofles	2681049
260	ProfessorBee	2606740
261	UCP_TheKingK	2574220
262	Fildyr	2547547
263	lillips	2536425
264	F_Uhre	2525047
265	Winklepicker279	2510894
266	xolstoi	2509504
267	33sudo	2498303
268	HyperCave	2489553
269	livingdaydreams	2441637
270	Kyrum2169	2424832
271	Bandito_Roamer	2396763
272	Felenov	2390213
273	Cocoamallows	2384831
274	Kijiki	2375023
275	dongli	2345805
276	BobDeBouwer1337	2344008
277	ItsHydroMC	2319245
278	SmashingPump	2316942
279	IAmTheWalrus910	2266948
280	monky_irl	2253830
281	sandmire	2245161
282	Leyna3	2238604
283	Vorlice	2234088
284	Iamthejo	2231588
285	gren_ben	2218053
286	Whiterooster001	2193292
287	robotemo	2182190
288	Prismyst	2175767
289	ExtraDumb	2162491
290	yheece	2143985
291	ROY4LE	2133064
292	intropass	2127982
293	nattybears	2110348
294	Creativebuilder2	2109648
295	4774	2109508
296	Russiancat1	2079809
297	TheSeismicDuck	2077758
298	Kubeusz2010	2062225
299	r123moore	2031200
300	youhjjhhhjj	2021570
