rank	username	minecraft:custom/minecraft:open_shulker_box
110	El_Jalapeno	4228
111	xxPipperDipperxx	4224
112	h2p_emrld	4214
113	Marbz_	4161
114	Winklepicker279	4152
115	Jovaphobic	4133
116	Quotary	4069
117	stahouo	4014
118	Hoid_the_Roamer	3855
119	Xclax101	3796
120	LexMakesHistory	3780
121	fred870d	3657
122	WyngGoy	3639
123	_Dean_123	3595
124	fluddd	3581
125	Incinere	3476
126	obzii	3440
127	6king6colt6	3380
128	CoffeeNoir	3339
129	vandmanden	3287
130	titanlax	3266
131	jcool7	3231
132	Hpdinosaur	3063
133	SteveCraftBlocks	3009
134	Sky_light_KING	2949
135	XboxPanda	2912
136	Kyrum2169	2894
137	BumbleBeever	2868
138	censorsheep	2801
139	Kakolbus	2686
140	Zoeyfortnite	2682
141	Cowison	2664
142	Truckoss	2657
143	EveryonesUncle	2653
144	yulgur1	2620
145	Bandito_Roamer	2554
146	Dogcorn69420	2530
147	awesomeoneme	2491
148	AuroraValkyrie	2462
149	MixerDixer	2357
150	loveseeker	2329
151	Warlord324	2317
152	SuperPooch06	2242
153	CalebDHawk	2240
154	SvenskaHugo	2200
155	TheSeismicDuck	2173
156	Euclidoris	2151
157	SingedBread	2129
158	Onennon	2128
159	Dedalus36	2112
160	SkateboardR6	2107
161	Kowcio_	1994
162	Soap_Bender	1993
163	Steven1282598	1977
164	Comma__	1946
165	masskedman	1925
166	SaucyDark	1903
167	DarlaMeow	1899
168	audiocracked	1897
169	jushykins	1891
170	Winston_Ingram	1890
171	Rocco_Lane	1860
172	Zaridey	1855
173	Powowowow	1853
174	2Stout	1835
175	Auseawesome	1770
176	diamondgolem35	1749
177	Myszoaz	1732
178	Ecplosive	1729
179	AltnumberF4	1725
180	FishyBoy3811	1724
181	M_Patata	1705
182	bigstankyy	1698
183	Hiryu27	1683
184	ssleepless	1654
185	KarlKaek	1644
186	Nycteus_	1638
187	egglapras	1631
188	GlitchyPlate810	1625
189	pixelviolin	1608
190	Sheldor097	1607
191	livingdaydreams	1603
192	hm947	1602
193	Maenara	1587
194	CollinMH06	1559
195	Fuhrer_Teemo	1476
196	_Nuf	1471
197	MinttyFressh	1451
198	RobotMinion101	1450
198	MasterNueve	1450
200	Njensen7	1404
201	HolyVenom	1394
202	Covalents	1386
203	_NieToksikpl_	1372
204	Quincannon	1370
205	Drlzyy	1351
206	RebelAndroid	1345
207	PlzNoBM	1322
208	Swexti	1318
209	lizardfightclub	1291
209	Kubeusz2010	1291
211	fkGrim	1272
212	Z3braYTIL	1262
213	wezzzi	1242
213	diggydog67	1242
215	FirsTimeGamingTV	1214
216	cedric72	1204
217	soundad	1201
218	Groovy_MoonBird	1178
219	Airem_Core	1165
220	TooManyDuck	1154
221	BronkerBrum	1146
222	RadarHz	1145
223	error10101	1144
224	_TCARREIRA_	1143
225	anbbang	1142
226	The_slideV3	1139
227	mariominejedi	1133
228	emrekn	1127
229	HyperCave	1115
230	alderban107	1106
231	MSK__	1089
232	Eczbek	1061
233	stavgod	1059
234	MeetTheWollo	1057
235	bloodbiter	1043
236	MovingFish7	1036
237	heckface	1035
238	SpaceGrenadier	1019
238	SexcMf	1019
240	ZeroKraken	1011
241	Rich_Kat	1008
242	I_Am_Mushkin	1006
243	Barlycorn	1003
244	HesDemonPants	998
245	Quaintster	997
246	SellyZ	978
247	Malorn_Aetherius	977
248	Ssor69	974
249	FishisTTV	968
250	2blox	953
251	Leyna3	935
252	Razzgriz	923
253	monky_irl	901
254	KnightmareD	900
255	eviltunix	897
256	MangoTheFish	890
257	JEWISHBadenBeele	876
258	Dreamdbr14	875
259	ibarker21	871
260	TheEnderman548	846
261	Smiguli_	839
262	Cryptacity	834
263	Syropatathe	813
264	ExtraDumb	806
265	Miko_Fullbuster	798
266	Kkanot	791
267	surfinggiraffejp	786
268	The11thDoctor	784
269	Natofthese	782
270	sxc_	770
271	pappaberg	766
272	_Bguette_	761
272	MustaLoordi	761
274	stellarjay	758
275	Optiprimus	757
276	DemTechAlpha	751
277	djancak	749
278	Weepingbiel	722
279	ColeSnyder	718
280	DanTheBuilderino	716
281	Natty	702
282	the_fireminer	699
283	FelixPSY375	694
284	IAmTheWalrus910	682
285	YungJakobo	674
286	whoaluv	651
287	hcb238	639
288	Prodiginus	638
289	07shiny	634
290	_Boipl_	631
291	fr0stss	630
292	King_Pancake1	629
293	fr_ser	622
294	Iagoku	620
295	G1ldor	619
296	TheOuterCore	616
297	Karbl	613
298	Factoroni	610
299	Deodorante	609
300	H72l9w	608
