rank	username	minecraft:custom/minecraft:mob_kills
212	Karetoko	15219
213	Eczbek	15062
214	SellyZ	15061
215	BreadBacon	15024
216	laron58	14641
217	jcool7	14544
218	Juh1s	14512
219	GoofySilly	14343
220	gaziter10	14331
221	PuFY	14312
222	H72l9w	14258
223	Xalithia	14254
224	Kubeusz2010	14249
225	UrbanPlanningEx	14204
226	Rebytre	14183
227	burbankbuilder28	14101
228	Shogunite	13978
229	Sheldor097	13906
230	OG_Songsee	13839
231	Jimb0nat0r	13665
232	SwooshBoi	13649
233	BobDeBouwer1337	13635
234	MinttyFressh	13336
235	Nicky_H225	13303
236	2bolx_	13301
237	ssleepless	13176
238	LeeMcGee30	13064
239	The_slideV3	13037
240	CalebDHawk	12988
241	G1ldor	12949
242	stavgod	12939
243	Noah_Bez	12934
244	RobotMinion101	12916
245	pixelviolin	12894
246	trexgb	12839
247	Quincannon	12801
248	Afinnity	12793
249	Fizznut909	12755
250	lorpus	12614
251	Fuhrer_Teemo	12613
252	r123moore	12443
253	diamondgolem35	12396
254	The11thDoctor	12390
255	fanofbands101	12383
256	ZA07	12379
257	NoChumpChange	12366
258	SeverianTheLame	12292
259	Powowowow	12236
260	Luigipunch989	12218
261	MangoTheFish	12152
262	XxCookiequeenxX	12017
263	2Stout	11980
264	epiksk8erduck	11966
265	Burge_r	11903
266	Lutres_Torane	11818
267	Razzgriz	11678
268	Hpdinosaur	11661
269	Megarboh	11587
270	SquadMonster	11422
271	Septemb3r	11405
272	RoskobiOne	11401
273	himak1	11390
274	KeruNatsema	11284
275	Natty	11273
275	Dusk_95	11273
277	LAVA129	11225
278	Rocco_Lane	11210
279	livingdaydreams	11201
280	_Nuf	11046
281	hm947	11045
282	pappaberg	11016
283	ayamefag	10997
284	layabout100	10971
285	PlzNoBM	10955
286	mimbo1211	10916
287	SvenskaHugo	10910
288	Incinere	10798
289	fkGrim	10740
290	NinjaKnifeKill	10689
291	MustaLoordi	10576
292	anbbang	10517
293	soundad	10515
294	weabis	10394
295	surfinggiraffejp	10392
296	Killercatty78	10348
297	jushykins	10321
298	Vicemaniac	10243
299	07shiny	10215
300	peach0s	10017
