rank	username	minecraft:custom/minecraft:interact_with_furnace
134	Jovaphobic	1304
135	PortlyPete69	1287
136	AlphaWolfPlaysMC	1284
137	NatalieTW	1282
138	RealGroot	1260
139	Iamthejo	1230
140	monky_irl	1228
141	ZeroAbyssTTV	1222
142	Cocoamallows	1214
143	Nicserso	1201
144	TheSeismicDuck	1180
145	PigDab	1178
146	EngagedGrub41	1172
147	Soplight	1171
148	Groovy_MoonBird	1169
149	Touched_Bread	1158
150	TheEnderMan548	1151
151	Deerfoot	1148
152	Hermanni__	1116
153	jnp_gaming	1110
154	Kamflame10	1105
155	Xalithia	1100
156	LeauVox4921	1094
157	Ze1ig	1091
158	MAns_44	1089
159	shdesolt	1074
160	stellarjay	1073
161	Dreamdbr14	1068
162	Groundler	1065
163	NomadicRobin_	1054
164	Mewar	1052
165	Nycteus_	1046
166	JESS_THE_RERE	1043
167	SkateboardR6	1033
168	jacxhadow	1032
169	ImDisconnected_	1021
170	DermeinUser	1013
171	_Karmaa	1012
172	Fildyr	1008
173	__tomato	1007
174	LetsDoItLive	1001
175	xzvu	999
176	Inchef	991
177	diamondgolem35	983
178	Natty	980
179	BlancoFlaco	969
180	EMC_	967
181	teslawolf38	966
182	Quincannon	963
183	Drawgirl	962
184	malgosia14	955
185	_Nuf	952
186	SSytex_X	950
187	Powowowow	947
188	Paintz	935
189	fluddd	934
190	Felenov	928
191	FirsTimeGamingTV	924
191	2Stout	924
193	SuperPooch06	923
193	Werbe	923
195	BobDeBouwer1337	919
196	Bloo2406	916
197	Awyrlas	912
198	r123moore	909
199	Warlord324	905
200	Swexti	901
201	MirielThePastor	899
202	_Bguette_	887
203	wobn	884
204	set67	875
205	prizm_	868
206	anbbang	862
207	bloodbiter	859
207	DarlaMeow	859
209	shrimp_flips	856
210	H72l9w	851
210	301851	851
212	SvenskaHugo	841
213	RoskobiOne	835
214	RedcatVII	833
215	Myszoaz	830
216	Barlycorn	827
217	Meatlaugh	810
218	Studyhallsaver	807
219	_Virify_	802
220	BlankityMcBlank	797
221	ReflexCode	793
222	Rocco_Lane	789
223	Lutres_Torane	788
224	MilleGrug	779
225	Tommhh	776
226	_Boipl_	770
227	Valoth	767
228	slkiey	766
229	mariominejedi	754
230	robotemo	753
231	bigstankyy	747
232	Moofyman	745
233	JitteryJared2	743
233	FallenCorps	743
235	mobunni	741
236	Kouridragon	739
236	starbits140	739
238	MyNameIsDakar	736
239	AnnieBathory	735
240	Jackster03	734
240	Wolverine4302	734
242	NinjaKnifeKill	732
243	layabout100	731
244	OfficerAnvil	728
245	AltnumberF4	726
246	yatsuta	725
247	livingdaydreams	724
248	ciemacigans	723
249	Marbz_	722
250	PlzNoBM	716
251	SyK7	715
252	MovingFish7	714
253	fkGrim	710
254	Euclidoris	709
255	Toriankel	708
256	1442	707
256	Zoeyfortnite	707
258	audiocracked	702
259	00000000-0000-0000-0009-01ff0c3e5e4f	701
260	CoffeeNoir	699
261	JayToe	698
262	Reamdin	694
262	CollinMH06	694
264	Kim_Jong_eel	692
265	q_wq	691
265	UltraZombie	691
267	crying_wolf_13	689
268	Skomo	681
269	Fuad_R	677
270	masskedman	670
271	RadarHz	669
271	xolstoi	669
273	TheBiggestFeller	664
274	Russiancat1	662
274	Deathkob	662
276	Froste131	661
276	Nicky_H225	661
278	Vizzoid	659
279	toj__	658
279	Syropatathe	658
281	RatatJuice	645
282	drunkeeez	634
283	KlausVonStiglitz	631
284	T045RTY	630
284	Prismyst	630
286	fade_emerge78823	628
287	Lord_Zacler	622
288	sandmire	620
288	theonlymagikarp	620
290	RoofTyler	619
291	GoofyBread	616
292	Notta	613
293	NoChumpChange	608
294	ayamefag	600
295	Maenara	599
296	MrExplorer	597
296	Ardennes	597
298	youhjjhhhjj	596
299	CadenSteele	595
299	Kynigito	595
