rank	username	minecraft:custom/minecraft:leave_game
133	Eczbek	385
134	Xalithia	380
135	Maenara	379
135	Hisiste	379
137	set67	375
138	Inbefour	374
138	alderban107	374
140	738b4f65-6cbd-4ead-ba31-c14211abfb06	369
141	Awyrlas	368
142	cedric72	365
143	Smashic	357
143	stavgod	357
145	RodSerlingCringe	354
146	SkateboardR6	343
147	Kowcio_	336
148	ediballbearings	333
149	MyNameIsJobo	330
149	fffMike	330
151	AlexxO_o	323
151	lillips	323
153	cichy096	322
154	Deathkob	318
154	censorsheep	318
156	mariominejedi	315
157	Winklepicker279	314
158	Wowful	312
158	MakeHistory157	312
160	sp00ky_ghost977	310
160	The_SlideV5	310
162	Miko_Fullbuster	308
163	Warlord324	307
164	Typadopoulos	305
165	2blox	301
166	Mr_Byzantine	299
167	vandmanden	298
168	fred870d	295
169	diamondgolem35	294
169	Kyrum2169	294
171	_Boipl_	293
172	_Karmaa	292
173	BlankityMcBlank	289
174	Quotary	288
175	WyngGoy	285
176	M_Patata	282
177	gabriels543	278
178	Mattesco	273
178	MilleGrug	273
180	MovingFish7	270
181	H72l9w	263
181	Zaridey	263
183	fw3xywashere	262
183	Nicserso	262
185	eviltunix	259
186	NotMeanttoChange	256
187	Sheldor097	255
188	yulgur1	254
189	MasterNueve	253
190	Syropatathe	252
191	Dedalus36	251
192	Drlzyy	248
193	Covalents	247
193	pappaberg	247
193	Lord_Zacler	247
196	heckface	245
196	loveseeker	245
196	Bumpy419	245
199	youhjjhhhjj	241
200	SvenskaHugo	238
201	_Bguette_	237
201	Dreamdbr14	237
203	Swexti	236
204	FelixPSY375	234
205	ProfessorBee	233
205	ooga47	233
205	masskedman	233
205	DanTheBuilderino	233
209	Lez_	231
210	YungJakobo	225
210	Zoeyfortnite	225
212	Jovaphobic	221
212	Huwulling	221
214	Scathra	218
214	GravitySaint	218
216	Meatlaugh	216
217	Myszoaz	215
218	UCP_TheKingK	213
219	TheDankPlatypus	210
220	iHuntWeeaboos	208
221	titanlax	207
221	Kamflame10	207
221	audiocracked	207
224	bigstankyy	205
225	SaucyDark	199
226	BumbleBeever	197
227	thgrocks	196
228	soundad	194
229	binman420	191
229	Quaintster	191
229	calamariclam_I	191
232	_Nuf	190
233	pZygh0st	189
234	Nicky_H225	188
234	Nicky19	188
236	Wooptey	184
237	Alteriity	183
237	RadarHz	183
239	Sky_light_KING	181
239	Optiprimus	181
239	ayamefag	181
239	TheEnderman548	181
243	hm947	178
243	picardred	178
243	WET_WET_WET	178
243	Nagasaki_Riku	178
247	Ssor69	174
247	ItsDeltaMC	174
249	YoshikageBites	173
250	Rich_Kat	172
250	Windo_licker	172
250	wwwwinnebagoooo	172
250	diggydog67	172
254	Cowison	169
255	Lutres_Torane	168
256	SquadMonster	167
257	Hpdinosaur	166
258	Franco093	164
258	Luigipunch989	164
260	RatatJuice	163
260	DemTechAlpha	163
260	VentiHilton	163
263	_stets	160
263	HyperCave	160
265	Natty	158
265	Z3braYTIL	158
265	LexMakesHistory	158
268	mihimihimihi	156
269	BobDeBouwer1337	155
270	Ender_Souls	154
271	MinttyFressh	153
271	fr_ser	153
271	lizardfightclub	153
271	fkGrim	153
275	MSK__	152
276	q_wq	151
276	Malorn_Aetherius	151
276	MangoTheFish	151
279	Strangemonkey71	150
280	TooManyDuck	149
281	AuroraValkyrie	148
281	Da_Boss_Rani	148
281	Megarboh	148
281	slkiey	148
285	FirsTimeGamingTV	147
285	XxCookiequeenxX	147
285	AltnumberF4	147
288	CruncyIsTaken	146
288	ToastedGamingYT	146
290	00000000-0000-0000-0009-01ff0c3e5e4f	145
291	CollinMH06	144
291	KlausVonStiglitz	144
293	oreee	143
294	awesomeoneme	142
294	Prodiginus	142
296	TheSeismicDuck	141
297	livingdaydreams	139
298	Truckoss	137
298	monky_irl	137
300	AssFullaCum	136
