rank	username	minecraft:custom/minecraft:open_barrel
142	Merv__	1168
143	claivin	1164
144	Apollo_993	1161
145	Maenara	1146
146	Nicserso	1143
147	Smashic	1124
148	Bumpy419	1123
149	binman420	1117
150	JitteryJared2	1109
150	weabis	1109
152	Inbefour	1102
153	Kynigito	1075
154	fkGrim	1067
155	pixelviolin	1065
156	Kakolbus	1062
157	Kubeusz2010	1034
158	ApophisNova	1029
159	MyNamaSheff	1027
160	calamariclam_I	1011
161	Kamflame10	1004
162	SvenskaAlvar	980
163	Karetoko	968
164	stellarjay	966
165	Fuad_R	961
166	Sral7	950
167	Notta	934
168	bpmm	929
169	obzii	926
170	CoffeeNoir	913
171	LeauVox4921	896
172	2bolx_	884
173	non089	866
174	FazeObama69	864
174	soundad	864
176	FishisTTV	862
177	Burge_r	844
178	Blu3beast	835
179	FreddyFart	826
180	StanceTB	825
181	HyperCave	815
182	SpacesickPrism	814
183	Marbz_	805
183	HellsSponge	805
185	jcool7	800
186	livingdaydreams	797
187	TechnoNinja64	795
188	Jimb0nat0r	789
189	jessewegottacook	786
190	DarlaMeow	774
191	wezzzi	760
192	Lord_Doob	755
193	iSammael	754
194	Kura2218	746
195	sp00ky_ghost977	745
196	SkateboardR6	742
197	Bobby808	740
198	H0UNDFRMH3LL	736
199	Mythic1130	727
200	ItsJunoIGuess	726
201	OffWithTheirHead	722
202	Whiterooster001	711
203	MinttyFressh	706
204	slkiey	696
205	Crowman1	694
206	sammidk	688
207	fr0stss	687
208	KermitTheKripple	685
208	WyngGoy	685
210	Nycteus_	683
211	Xclax101	680
212	Hisiste	654
213	WYFYoyo	646
214	thebaddruid	641
214	diggydog67	641
216	nut_e	639
217	Cryptacity	634
217	Wowful	634
219	thescout7	620
220	shyshyannne	615
221	6king6colt6	611
222	Afinnity	607
223	pappaberg	606
224	Dreamdbr14	604
225	Barlycorn	595
226	ThePoliteG	594
227	lillips	593
228	titanlax	586
229	RoskobiOne	577
230	NinjaKnifeKill	573
231	Hpdinosaur	569
231	NieToksikpl	569
231	Yirtle	569
234	cichy096	568
235	H72l9w	564
236	gcaisawesome	560
236	brofrickcheaters	560
238	M_Patata	557
239	drunkeeez	551
239	_TCARREIRA_	551
241	WarMachina	549
242	PlzNoBM	548
243	fanofbands101	538
244	victorLIE	536
245	hanaryheatwave	527
245	groofles	527
247	Euclidoris	526
248	MasterNueve	525
249	CattSoup	524
250	BlankityMcBlank	517
251	FelixPSY375	515
252	UltraZombie	514
253	KGTV	508
254	yulgur1	494
255	Groovy_MoonBird	491
256	ADEXTV	484
256	Ze_BaronKrigler	484
258	_stets	477
259	FishyBoy3811	476
260	bigstankyy	471
261	I_Am_Mushkin	470
261	nattybears	470
261	MightyWertu	470
264	HesDemonPants	466
265	burbankbuilder28	465
266	wwwwinnebagoooo	462
267	Tommhh	459
268	TheTommyGun63	458
269	little_dUki	455
270	ROY4LE	439
270	Soap_Bender	439
272	MrKrabOnCoke	438
273	MAns_44	437
274	Mr_Sun15	433
275	Valoth	428
276	Njensen7	423
277	Felenov	418
278	Zythose	416
279	RyuNeko932000	415
280	tartanboy	411
281	gabriels543	410
281	Majonezzon	410
283	Rocco_Lane	407
284	chimpmunker	406
284	Pofen	406
286	ZA07	403
287	SingedBread	400
288	Bazongoman	399
288	Syropatathe	399
290	Drewen24	396
291	Tolhart	395
291	mwrty	395
293	Cambo5000	394
293	Parcc	394
295	fr_ser	393
295	TheWildMateo	393
297	MattieHD	392
297	TheOuterCore	392
299	XboxPanda	391
299	AlexxO_o	391
