rank	username	minecraft:custom/minecraft:bell_ring
96	DarkS0L	352
97	WyngGoy	348
98	BRRRN179	335
99	Scathra	328
100	ILoveCarrot	324
101	12Magner05	322
102	k_ce	319
103	Groundler	316
104	mimbo1211	312
105	Incinere	310
106	RobotMinion101	308
107	Di_infiri	300
108	Mr_Byzantine	291
109	myaccountwasgone	283
109	AlexxO_o	283
111	Powowowow	282
112	Myszoaz	278
113	WYFYoyo	273
114	EveryonesUncle	272
115	ayamefag	269
116	AspenLightVT	267
117	H0UNDFRMH3LL	266
118	SHAOBADMAN	265
119	Ssor69	262
120	M_Patata	260
121	Apollo_993	238
121	jnp_gaming	238
123	Louiis123	232
123	TheDankPlatypus	232
125	burbankbuilder28	228
126	Werbe	226
126	Nicserso	226
128	q_wq	224
129	Jahara	222
129	Onennon	222
131	ProfessorBee	217
132	Fuad_R	215
132	DanTheBuilderino	215
134	MasterNueve	214
135	Mattesco	212
136	lordpipe	205
137	pintsizedrogue	197
137	NomadicRobin_	197
139	BobDeBouwer1337	196
139	ApophisNova	196
139	MyNamaSheff	196
142	ItsColin11	195
143	BleachMyEyes	194
144	MrExplorer	192
145	pixelviolin	189
146	LeEricc	186
147	KarlKaek	184
148	XboxPanda	179
148	ogoa	179
148	Enderxz3	179
151	Alteriity	177
152	SyK7	175
153	Saucepeh	170
153	HellsSponge	170
155	Optiprimus	168
155	annebolyn	168
157	Touched_Bread	167
157	Eczbek	167
159	StarCookiees_	165
160	Kakolbus	163
161	ImNotYuqii	161
162	4774	159
163	Cruncy_	158
163	Inbefour	158
165	bluefragmentt	156
166	CLG_Kata	154
166	yulgur1	154
166	Paguz01	154
169	Avrelion	153
169	Pumpkin_P_Patch	153
169	hermmm_	153
172	bloodbiter	152
172	The11thDoctor	152
172	LeeMcGee30	152
175	Solar_Power	150
176	fallingemma	146
177	bl1ss0	143
178	T045RTY	136
179	thatbeanyboi	135
180	__tomato	134
181	Maenara	133
182	little_dUki	130
183	Gregward_Smith	129
184	Natty	128
184	legal_tax_evader	128
184	SkateboardR6	128
187	Sea_Boar	127
188	GothicJamm	125
189	MattieHD	124
189	Secret_Canary	124
191	ImpavidArcher	122
191	p4pillio	122
193	MrKrabOnCoke	119
193	CalebDHawk	119
195	Mobstr	118
196	ZaneABrain	117
197	SSytex_X	116
198	seramalen	114
199	Euclidoris	113
199	MakeHistory157	113
201	Leeeegend	111
201	wwwwinnebagoooo	111
203	El_Jalapeno	110
203	djancak	110
205	Quotary	109
206	EdGalbraith	107
206	Soap_Bender	107
208	StinkyDiplomat	105
209	himak1	101
210	Hisiste	100
211	Smashic	98
211	TylerDupree	98
213	j5ylim	97
213	xxPipperDipperxx	97
213	Leyna3	97
216	AgressiveEggdog	96
216	Hpdinosaur	96
218	LordAurum	95
219	Historical_Sand	93
219	UnderKat	93
221	heckface	88
221	InfernalMound	88
221	CliffEmAll	88
224	Tarnished_Knight	85
224	Kyrum2169	85
226	Deathkob	83
227	Moofyman	81
227	Warlord324	81
227	Kura2218	81
227	00000000-0000-0000-0009-01fc3bb26159	81
231	07shiny	80
231	xzvu	80
233	emrekn	79
233	Inchef	79
233	ougstur	79
233	AstreaTSS	79
237	Cyntrical	77
238	AlphaWolfPlaysMC	76
239	mwrty	75
240	r123moore	74
240	thewindmillman	74
242	Kalwag	73
243	ReflexCode	71
243	IdeallyGrey	71
245	ThreeAmMan	70
245	Luigipunch989	70
247	fragrantmonke444	69
247	hanaryheatwave	69
249	Valoth	66
249	Fuhrer_Teemo	66
249	Shogunite	66
249	redlightshift	66
253	Dogcorn69420	65
254	Windo_licker	64
254	pappaberg	64
254	IamCL4SSY	64
257	Zythose	63
257	obzii	63
259	thgrocks	62
260	xXTheWolfmanXx	61
260	MinePowerz	61
260	Nicky_H225	61
260	Benzito07	61
260	Vellu21	61
265	BilboBaggins23	60
265	finbob5	60
265	GooseWithin	60
268	dabloons	59
268	Hahaa_0	59
268	Templar_David	59
268	Teebone15	59
272	zombierieger	57
272	4thChairmanKiryu	57
274	intropass	56
274	fxiryglitch	56
276	St4nLe7	55
276	pretty_pink_reno	55
276	icim	55
279	Foof13	54
279	bigstankyy	54
279	ColeSnyder	54
279	CarltheCuck	54
279	HAruSAme14	54
284	iElijahi	53
285	dragonsleger	52
285	thescout7	52
285	eviltunix	52
285	Mr_Froxy	52
285	Ooosa	52
290	jinklenuttz	51
291	ratglock	50
291	Manny16	50
291	Stephenpoling	50
291	sp00ky_ghost977	50
291	TheKingK_	50
296	Guillemet	49
296	Reneedium	49
296	sammidk	49
296	fluddd	49
300	_stets	48
