rank	username	minecraft:custom/minecraft:interact_with_cartography_table
113	xorompole	7
123	Batoser	6
123	TheBlackDeth	6
123	diamondgolem35	6
123	Iagoku	6
123	RebelAndroid	6
123	Jahara	6
123	H72l9w	6
123	Swexti	6
123	Vizzoid	6
123	UncreativeArtist	6
123	SpicyMeatballs	6
123	Shiirazuku	6
123	FreddyFart	6
123	EveryonesUncle	6
123	NYJ	6
123	lillips	6
123	DarkS0L	6
123	Quaintster	6
123	TheTommyGun63	6
123	Kyrum2169	6
123	alderban107	6
123	Skippeh	6
123	EcksDofficial	6
146	Bandito_Roamer	5
146	King_Wars125	5
146	bigstankyy	5
146	ExtraDumb	5
146	Natofthese	5
146	Winklepicker279	5
146	Ristebraaten	5
146	Bumpy419	5
146	wezzzi	5
146	TheSeismicDuck	5
146	SingedBread	5
146	ProfessorDiaper	5
146	Factoroni	5
146	33sudo	5
146	Luigipunch989	5
146	CalebDHawk	5
146	Sheldor097	5
146	Nicserso	5
146	FelixPSY375	5
146	Lowjinx	5
146	Sral7	5
167	_stets	4
167	dabloons	4
167	soundad	4
167	Hyugo	4
167	Batman922	4
167	301851	4
167	Ssor69	4
167	heckface	4
167	Valoth	4
167	r123moore	4
167	Fast_Turtle	4
167	epiksk8erduck	4
167	Kim_Jong_eel	4
167	Soap_Bender	4
167	Quincannon	4
167	QueenShuvi	4
167	SwooshBoi	4
167	560cool	4
167	SkateboardR6	4
167	Spenduh	4
167	SammiWolfGirl	4
167	_3Stump_	4
167	KingMatthew506	4
167	Vellu21	4
167	Apicomplexa	4
167	Quotary	4
167	JayToe	4
167	Calbo_	4
195	Louiis123	3
195	chimpmunker	3
195	ColeSnyder	3
195	ImpavidArcher	3
195	Reamdin	3
195	titanlax	3
195	Tmb1	3
195	surfinggiraffejp	3
195	Resner	3
195	SHAOBADMAN	3
195	Karetoko	3
195	QueenHearts	3
195	pappaberg	3
195	CruncyIsTaken	3
195	Hiimdeath	3
195	TTNG	3
195	jewbacaman	3
195	lizardfightclub	3
195	Leyna3	3
195	Maenara	3
195	DizzleJay311	3
195	Inbefour	3
195	kiluaemc	3
195	chipklip	3
195	proxivitoid	3
195	Karbl	3
195	censorsheep	3
195	cog	3
195	LordAurum	3
195	Fildyr	3
195	Typadopoulos	3
195	Hisiste	3
195	monky_irl	3
195	stavgod	3
195	KG1999	3
195	_TCARREIRA_	3
195	Wolverine4302	3
195	diggydog67	3
233	Mr_Byzantine	2
233	teslawolf38	2
233	DepressedCubic	2
233	BlancoFlaco	2
233	TooManyDuck	2
233	Gundam_Steven	2
233	Hpdinosaur	2
233	Wooptey	2
233	T045RTY	2
233	youhjjhhhjj	2
233	lotarp	2
233	Myrlewen	2
233	MOSS000	2
233	MrMattyPatt	2
233	picardred	2
233	yoyonovice63	2
233	MinttyFressh	2
233	SteveCraftBlocks	2
233	lordsaladito	2
233	potato292	2
233	sandmire	2
233	set67	2
233	LordDiabolos	2
233	PegLegPete93	2
233	hcb238	2
233	Mobstr	2
233	ImDisconnected_	2
233	burbankbuilder28	2
233	LAVA129	2
233	andy_rex	2
233	Hiryu27	2
233	The11thDoctor	2
233	ooga47	2
233	fred870d	2
233	MinerDec	2
233	doctoruwot	2
233	PigDab	2
233	victorLIE	2
233	aec9	2
233	CarryLine	2
233	theofiel	2
233	Drewen24	2
233	Rasmanden	2
233	natajimi	2
233	NomadicRobin_	2
233	masskedman	2
233	Deathkob	2
233	Katthaj	2
233	TheJetNinja	2
233	Meatlaugh	2
233	DemTechAlpha	2
233	Shogunite	2
233	MAns_44	2
233	Xclax101	2
233	Warlord324	2
233	MovingFish7	2
233	Leithz6	2
233	MakeHistory157	2
233	Chaotic1s	2
233	ayamefag	2
233	Sank34	2
233	Kijiki	2
233	ediballbearings	2
233	jcool7	2
233	anbbang	2
233	sideofbbq	2
233	BreadBacon	2
233	Creeper_ez	2
