rank	username	minecraft:custom/minecraft:damage_blocked_by_shield
179	Spacewardharpy7	5514
180	JohnnyFyes	5462
181	SDW_Insanity	5330
182	PhantomBionic	5313
183	Sleepy_Time_	5290
184	Guillemet	5250
185	AssFullaCum	5227
186	MinttyFressh	5215
187	Kouridragon	5120
188	Merv__	5118
189	Gmoney390	5105
190	microcrisp	5102
191	Ozixar	5025
192	Myhym	5013
193	CharlieButt	5003
194	Kennyissleepy	4990
195	Froste131	4976
196	Gryglu583	4970
197	Z3braYTIL	4966
198	AnnieBathory	4925
199	CalebDHawk	4921
200	KGTV	4879
201	Armattillo	4872
202	HAIRYCLOUD626	4871
203	MilleGrug	4830
204	BigCronkin	4793
205	HoltGrim	4765
206	crying_wolf_13	4754
207	lcvezra	4737
208	Cowison	4735
209	fade_emerge78823	4725
210	Catharsist	4695
211	gaming4Naming	4680
212	Katsuragi0243218	4645
213	T045RTY	4573
214	00000000-0000-0000-0009-01f898304150	4551
215	DarkS0L	4540
216	_Magdo_	4533
217	__TheNorseMan__	4525
218	Dan_Scha	4485
219	theonlymagikarp	4470
220	alderban107	4455
221	KnightmareD	4422
222	himak1	4377
223	rotten_mango	4345
224	OG_Songsee	4325
224	starbits140	4325
226	ImpavidArcher	4319
227	QueenShuvi	4310
228	IAmTheWalrus910	4295
229	ayamefag	4240
230	CruncyIsTaken	4144
231	TheOnlyRake	4130
232	Nycteus_	4129
233	Joestra	4118
234	thewindmillman	4095
235	jiggywraps	4080
236	Onennon	4060
237	Bloo2406	4046
238	Kiki_Majiki	4038
239	KlausVonStiglitz	4000
240	momis24	3994
241	EcksDofficial	3945
242	Moetis	3936
243	brofrickcheaters	3924
244	Syropatathe	3905
245	Kubeusz2010	3903
246	Jimi7hits	3892
247	AuroraValkyrie	3830
248	GravitySaint	3735
249	Aatronix1	3713
250	NATE_the_HALO	3700
251	xPixelRainx	3650
252	mariominejedi	3635
253	CSG_Haru	3621
254	Jackattack53	3612
255	MattieHD	3603
256	YungJakobo	3590
257	chimpmunker	3570
258	MyNameIsJobo	3560
259	SugarMyNuggets	3556
260	TAKrules	3555
260	aldplaysmc	3555
262	SolicitedPuma101	3478
263	xyct	3475
264	lillips	3441
265	skelecorebot	3410
266	I_Am_Mushkin	3397
267	Nicserso	3368
268	HolyVenom	3346
269	ccormacs	3330
270	UltimuShadow	3300
271	AltnumberF4	3275
272	Mowelan	3255
273	Begformurrcy	3250
274	a_smol_bean	3230
275	Kijiki	3218
276	proxivitoid	3214
277	jushykins	3211
278	Tristankill	3183
279	parodypatient	3175
280	Frxnkz	3158
281	DarlaMeow	3140
282	dabloons	3135
283	XeroByMyth	3130
284	Gab4101	3125
285	SammiWolfGirl	3094
286	TheWildMateo	3090
287	Hyugo	3080
288	q_wq	3055
289	Mr_Byzantine	3054
290	Bl1tzFX	3043
291	TheTrueClipse	3040
292	SidorAlex	3020
293	Awyrlas	3017
294	KliBeast21	3015
295	pZygh0st	3012
296	Hpdinosaur	3010
297	Teebone15	2965
298	LetsDoItLive	2961
299	SaltineDream	2955
300	_Cloverbelle_	2940
