rank	username	minecraft:custom/minecraft:jump
124	Lez_	188864
125	Mattesco	188447
126	El_Jalapeno	188397
127	Deathkob	184875
128	Alteriity	184534
129	00000000-0000-0000-0009-01ff0c3e5e4f	184097
130	Bumpy419	183225
131	Winklepicker279	182293
132	Hisiste	181624
133	CoffeeNoir	178764
134	__tomato	176403
135	binman420	176211
136	H72l9w	176197
137	Covalents	175450
138	MovingFish7	173752
139	ShedJr_	173631
140	PhantomsGhost_	173419
141	MakeHistory157	172392
142	SuperPooch06	171559
143	Warlord324	171555
144	Dreamdbr14	171083
145	lorpus	168845
146	Kyrum2169	168777
147	wwwwinnebagoooo	166322
148	teslawolf38	165068
149	AlexxO_o	163025
150	ougstur	160566
151	vandmanden	158734
152	Hiryu27	158237
153	xxPipperDipperxx	158173
154	Deodorante	157668
155	Cowison	157402
156	The_slideV3	156600
157	fffMike	153873
158	obzii	150781
159	censorsheep	150506
160	Meatlaugh	149428
161	Mr_Byzantine	146203
162	_Bguette_	145145
163	Quotary	144556
164	SvenskaHugo	143625
165	bigstankyy	141564
166	XboxPanda	140937
167	I_Am_Mushkin	139715
168	_Virify_	136544
169	Awyrlas	135684
170	Bandito_Roamer	135163
171	MattieHD	130952
172	Shogunite	128554
173	sp00ky_ghost977	127753
174	Marbz_	127508
175	Iamthejo	127359
176	anbbang	126955
177	youhjjhhhjj	126635
178	alderban107	126155
179	ThiccExotic	125522
180	Nycteus_	125186
181	Quaintster	124513
182	LordSpeed37	124492
183	Nicserso	124129
184	Ssor69	123942
185	mihimihimihi	123170
186	Esme_1	122999
187	Zaridey	121625
188	TooManyDuck	120901
189	RadarHz	120498
190	pixelviolin	119865
191	_Karmaa	118675
192	legal_tax_evader	116527
193	_Boipl_	116075
194	Malorn_Aetherius	115993
195	lillips	113637
196	djancak	113567
197	TheDankPlatypus	113506
198	Natty	113209
199	livingdaydreams	112145
200	BlancoFlaco	112098
201	CollinMH06	111586
202	Comma__	109430
203	impossibleteapot	109350
204	Fuad_R	109287
205	diggydog67	108316
206	Incinere	108129
207	FishyBoy3811	108015
208	RobotMinion101	107939
209	MyNameIsDakar	107394
210	r123moore	106922
211	Kura2218	106712
212	wezzzi	106101
213	FelixPSY375	103585
214	_TCARREIRA_	103485
215	_Nuf	102478
216	Wowful	102028
217	audiocracked	101961
218	SingedBread	101623
219	Smussa	101155
220	SyntheticSurgeon	100065
221	yulgur1	99825
222	SmashingPump	99690
223	Swexti	98176
224	diamondgolem35	96826
225	Dogcorn69420	95569
226	mariominejedi	95217
227	DanTheBuilderino	94927
228	cedric72	94733
229	BobDeBouwer1337	94559
230	Cocoamallows	93942
231	RoskobiOne	93816
232	Kubelz	92194
233	WET_WET_WET	91726
234	heckface	91673
235	Mythic1130	91442
236	Optiprimus	90260
237	StinkyDiplomat	89449
238	IAmTheWalrus910	88418
239	XxCookiequeenxX	88394
240	q_wq	88253
241	ProfessorBee	88215
242	Mewar	87199
243	Eczbek	86946
244	eviltunix	86907
245	Kim_Jong_eel	86650
246	SaucyDark	86439
247	IamCL4SSY	86228
248	RatatJuice	86158
249	Felenov	86053
250	Typadopoulos	85890
251	calamariclam_I	85868
252	Quincannon	85637
253	Touched_Bread	84551
254	WYFYoyo	84256
255	Hpdinosaur	83819
256	gabriels543	83661
257	Kamflame10	83047
258	Corbsman	82829
259	MinttyFressh	81920
260	slkiey	81018
261	EngagedGrub41	80948
262	Nicky_H225	80226
263	AlphaWolfPlaysMC	79942
264	tsitrawhy	79860
265	epiksk8erduck	79353
266	DarkS0L	79297
267	stavgod	79259
268	2bolx_	79010
269	seanitoo	78981
270	FirsTimeGamingTV	78646
271	Inbefour	78168
272	ItsDeltaMC	77956
273	groofles	77921
274	titanlax	77555
275	TheSeismicDuck	77483
276	eiC_	77303
277	SellyZ	76996
278	NatalieTW	76991
279	fkGrim	76923
280	VentiHilton	76399
281	AuroraSkies	75906
282	Vizzoid	75126
283	SSytex_X	74954
284	whoaluv	74894
285	Kubeusz2010	74538
286	Myszoaz	74428
287	00000000-0000-0000-0009-01f073f37a91	74340
288	Biites	74301
289	fr_ser	74153
290	thgrocks	73872
291	2Stout	73605
292	monky_irl	73232
293	Kkanot	73194
294	The11thDoctor	72968
295	starbits140	72551
296	Leyna3	72498
297	JayToe	72294
298	MirielThePastor	71667
299	Prodiginus	70998
300	CharlieButt	69752
