rank	username	minecraft:custom/minecraft:interact_with_loom
250	KlausVonStiglitz	7
250	DarkS0L	7
250	KermitTheKripple	7
250	DarlaMeow	7
250	MAns_44	7
250	Cocoamallows	7
250	Nicserso	7
250	MeetTheWollo	7
250	2blox	7
250	Jordan_R	7
271	Paint	6
271	chimpmunker	6
271	KarlKaek	6
271	Digcove	6
271	2Stout	6
271	Kubelz	6
271	Avrelion	6
271	fr_ser	6
271	Hyp3rion_	6
271	_Boipl_	6
271	Parcc	6
271	Rocco_Lane	6
271	PigDab	6
271	AlphaWolfPlaysMC	6
271	TheSeismicDuck	6
271	proxivitoid	6
271	Fildyr	6
271	NotMeowMix	6
271	monky_irl	6
271	SexcMf	6
271	SlimeBOI03	6
271	diggydog67	6
293	Froste131	5
293	Sleek_Storm_721	5
293	Reamdin	5
293	Ozixar	5
293	crying_wolf_13	5
293	SellyZ	5
293	killmeiamtraitor	5
293	WarMachina	5
