rank	username	minecraft:custom/minecraft:fly_one_cm
257	q_wq	15941172
258	Menthas	15833150
259	SingedBread	15710337
260	slkiey	15690673
261	sammidk	15632419
262	eiC_	15529214
263	ExtraDumb	15415413
264	Leyna3	15383681
265	thgrocks	15378182
266	stellarjay	15378119
267	Soap_Bender	15348075
268	mimbo1211	15315327
269	SaucyDark	15239376
270	Mr_Byzantine	15203451
271	JayToe	15108264
272	ItsDeltaMC	15011530
273	tartanboy	14569960
274	Smashic	14442674
275	cog	14301862
276	JEWISHBadenBeele	14256364
277	UltraZombie	14243842
278	Kamflame10	14103648
279	whoaluv	14081133
280	benediktine1	13842554
281	CharlieButt	13809048
282	BreadBacon	13797977
283	TheDankPlatypus	13744459
284	jushykins	13667597
285	ediballbearings	13650714
286	djancak	13580579
287	BumbleBeever	13516726
288	MissCeleste7	13492956
289	Razzgriz	13385408
290	sxc_	13272571
291	Rasmanden	13215305
292	Jovaphobic	13200577
293	pappaberg	13165630
294	_NieToksikpl_	13110330
295	Valoth	13047099
296	starbits140	13036135
297	Mattesco	13031283
298	Motsaro	12973905
299	Kim_Jong_eel	12865776
300	KomputerDude	12786607
